,precision,recall,f1-score,support
Consideration,0.9404494382022472,0.9479048697621744,0.9441624365482234,883.0
Value,0.9353023909985936,0.9261838440111421,0.9307207837648706,718.0
accuracy,0.9381636477201749,0.9381636477201749,0.9381636477201749,0.9381636477201749
macro avg,0.9378759146004204,0.9370443568866582,0.937441610156547,1601.0
weighted avg,0.9381411434538255,0.9381636477201749,0.9381342624704925,1601.0
