doc_title,negative,positive,sentiment_raw_counts,tfidf_positive,tfidf_negative,net_sentiment_tfidf
Circle,422,489,67,0.008766901262149468,0.01213878636297623,-0.0033718851008267617
Free,281,344,63,0.005315269515601342,0.008288216871785147,-0.0029729473561838048
